[ 2017-03-30T13:18:56+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | INFO: Tag[ route_check ] --START--
[ 2017-03-30T13:18:56+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 699 行.
[ 2017-03-30T13:18:56+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: SELECT * FROM (SELECT thinkphp.*, rownum AS numrow FROM (SELECT   * FROM erp_group WHERE LOAN_GROUPID='2' and LOAN_GROUPSTATUS=1 and LOAN_GROUPDEL=0) thinkphp )  WHERE (numrow>0 AND numrow<=1) [ RunTime:0.000000s ]
[ 2017-03-30T13:18:56+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: select a.column_name,data_type,decode(nullable,'Y',0,1) notnull,data_default,decode(a.column_name,b.column_name,1,0) pk from user_tab_columns a,(select column_name from user_constraints c,user_cons_columns col where c.constraint_name=col.constraint_name and c.constraint_type='P'and c.table_name='ERP_ROLE') b where table_name='ERP_ROLE' and a.column_name=b.column_name(+) [ RunTime:0.000000s ]
[ 2017-03-30T13:18:56+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 699 行.
[ 2017-03-30T13:18:56+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: SELECT * FROM (SELECT thinkphp.*, rownum AS numrow FROM (SELECT   * FROM erp_role WHERE  LOAN_ROLECONTROL='RTStatistics' and LOAN_ROLEACTION='city_pro_detail' and LOAN_ROLEDISPLAY=0 and LOAN_PARAM is not null ) thinkphp )  [ RunTime:0.000000s ]
[ 2017-03-30T13:18:56+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | NOTIC: [8] Undefined index: act ExtendAction.class.php 第 157 行.
[ 2017-03-30T13:18:56+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 699 行.
[ 2017-03-30T13:18:56+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: SELECT * FROM (SELECT thinkphp.*, rownum AS numrow FROM (SELECT   * FROM erp_role WHERE   LOAN_ROLECONTROL='RTStatistics' and LOAN_ROLEACTION='city_pro_detail' AND LOAN_ROLEDISPLAY=0 and LOAN_PARAM is null ) thinkphp )  [ RunTime:0.000000s ]
[ 2017-03-30T13:18:56+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | NOTIC: [8] Indirect modification of overloaded property RTStatisticsAction::$_merge_url_param has no effect RTStatisticsAction.class.php 第 23 行.
[ 2017-03-30T13:18:56+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: SELECT distinct(city_id) AS city  FROM erp_cardmember [ RunTime:0.000000s ]
[ 2017-03-30T13:18:56+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: select name,py,id from erp_city  where isvalid = -1 order by id [ RunTime:0.000000s ]
[ 2017-03-30T13:18:56+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: SELECT COUNT(id) as num, city_id  FROM erp_cardmember WHERE createtime >= to_date('2016-02-01 00:00:00','yyyy-mm-dd hh24:mi:ss') AND createtime <= to_date('2017-03-31 13:18:55','yyyy-mm-dd hh24:mi:ss') GROUP BY city_id  [ RunTime:0.000000s ]
[ 2017-03-30T13:18:56+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: SELECT project_id, count(id) AS arrival_num FROM erp_arrival_confirm_log  WHERE createtime >=  to_date('2016-02-01 00:00:00','yyyy-mm-dd hh24:mi:ss') AND createtime <= to_date('2017-03-31 13:18:55','yyyy-mm-dd hh24:mi:ss')  GROUP BY project_id [ RunTime:0.000000s ]
[ 2017-03-30T13:18:56+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: select city_id from erp_project where id = '658' [ RunTime:0.000000s ]
[ 2017-03-30T13:18:56+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | NOTIC: [8] Undefined offset: 4 RTStatisticsAction.class.php 第 79 行.
[ 2017-03-30T13:18:56+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: select city_id from erp_project where id = '1918' [ RunTime:0.000000s ]
[ 2017-03-30T13:18:56+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | NOTIC: [8] Undefined offset: 8 RTStatisticsAction.class.php 第 79 行.
[ 2017-03-30T13:18:56+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: select city_id from erp_project where id = '1941' [ RunTime:0.000000s ]
[ 2017-03-30T13:18:56+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: select city_id from erp_project where id = '2552' [ RunTime:0.000000s ]
[ 2017-03-30T13:18:56+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | NOTIC: [8] Undefined offset: 1 RTStatisticsAction.class.php 第 79 行.
[ 2017-03-30T13:18:56+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: select city_id from erp_project where id = '3055' [ RunTime:0.000000s ]
[ 2017-03-30T13:18:56+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | NOTIC: [8] Undefined offset: 7 RTStatisticsAction.class.php 第 79 行.
[ 2017-03-30T13:18:56+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: select city_id from erp_project where id = '3602' [ RunTime:0.000000s ]
[ 2017-03-30T13:18:56+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: select city_id from erp_project where id = '671' [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | NOTIC: [8] Undefined offset: 114 RTStatisticsAction.class.php 第 79 行.
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: select city_id from erp_project where id = '1940' [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: select city_id from erp_project where id = '2537' [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: select city_id from erp_project where id = '2468' [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: select city_id from erp_project where id = '3221' [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: select city_id from erp_project where id = '3436' [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: select city_id from erp_project where id = '661' [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: select city_id from erp_project where id = '1711' [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: select city_id from erp_project where id = '2898' [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: select city_id from erp_project where id = '2796' [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: select city_id from erp_project where id = '639' [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: select city_id from erp_project where id = '649' [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: select city_id from erp_project where id = '645' [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: select city_id from erp_project where id = '764' [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: select city_id from erp_project where id = '609' [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: select city_id from erp_project where id = '1953' [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | NOTIC: [8] Undefined offset: 9 RTStatisticsAction.class.php 第 79 行.
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: select city_id from erp_project where id = '664' [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: select city_id from erp_project where id = '663' [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: select city_id from erp_project where id = '1947' [ RunTime:0.001000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: select city_id from erp_project where id = '1623' [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: select city_id from erp_project where id = '638' [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: select city_id from erp_project where id = '643' [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: select city_id from erp_project where id = '662' [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: select city_id from erp_project where id = '3384' [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: select city_id from erp_project where id = '1937' [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: select city_id from erp_project where id = '2670' [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: select city_id from erp_project where id = '641' [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: select city_id from erp_project where id = '2323' [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: select city_id from erp_project where id = '1915' [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: select city_id from erp_project where id = '780' [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: select city_id from erp_project where id = '660' [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: select city_id from erp_project where id = '653' [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: select city_id from erp_project where id = '656' [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: select city_id from erp_project where id = '2773' [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: select city_id from erp_project where id = '644' [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: select city_id from erp_project where id = '2387' [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: SELECT operate_type, COUNT(*) AS num FROM erp_rt_operate_log WHERE  city = '1' AND operate_time >= to_date('2016-02-01 00:00:00','yyyy-mm-dd hh24:mi:ss') AND operate_time <= to_date('2017-03-31 13:18:55','yyyy-mm-dd hh24:mi:ss') GROUP BY operate_type [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: SELECT city, COUNT(*) AS num,from_device FROM erp_rt_operate_log WHERE  city =1 AND operate_time >= to_date('2016-02-01 00:00:00','yyyy-mm-dd hh24:mi:ss') AND operate_time <= to_date('2017-03-31 13:18:55','yyyy-mm-dd hh24:mi:ss')  AND operate_type = 1 AND from_device IN (1,2) GROUP BY from_device,city [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: SELECT COUNT(*) AS num FROM erp_rt_operate_log WHERE  city =1 AND operate_time >= to_date('2016-02-01 00:00:00','yyyy-mm-dd hh24:mi:ss') AND operate_time <= to_date('2017-03-31 13:18:55','yyyy-mm-dd hh24:mi:ss')  AND operate_type = 3 AND from_device IN (1,2,3) [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: SELECT operate_type, COUNT(*) AS num FROM erp_rt_operate_log WHERE  city = '6' AND operate_time >= to_date('2016-02-01 00:00:00','yyyy-mm-dd hh24:mi:ss') AND operate_time <= to_date('2017-03-31 13:18:55','yyyy-mm-dd hh24:mi:ss') GROUP BY operate_type [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: SELECT city, COUNT(*) AS num,from_device FROM erp_rt_operate_log WHERE  city =6 AND operate_time >= to_date('2016-02-01 00:00:00','yyyy-mm-dd hh24:mi:ss') AND operate_time <= to_date('2017-03-31 13:18:55','yyyy-mm-dd hh24:mi:ss')  AND operate_type = 1 AND from_device IN (1,2) GROUP BY from_device,city [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: SELECT COUNT(*) AS num FROM erp_rt_operate_log WHERE  city =6 AND operate_time >= to_date('2016-02-01 00:00:00','yyyy-mm-dd hh24:mi:ss') AND operate_time <= to_date('2017-03-31 13:18:55','yyyy-mm-dd hh24:mi:ss')  AND operate_type = 3 AND from_device IN (1,2,3) [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: SELECT operate_type, COUNT(*) AS num FROM erp_rt_operate_log WHERE  city = '2' AND operate_time >= to_date('2016-02-01 00:00:00','yyyy-mm-dd hh24:mi:ss') AND operate_time <= to_date('2017-03-31 13:18:55','yyyy-mm-dd hh24:mi:ss') GROUP BY operate_type [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: SELECT city, COUNT(*) AS num,from_device FROM erp_rt_operate_log WHERE  city =2 AND operate_time >= to_date('2016-02-01 00:00:00','yyyy-mm-dd hh24:mi:ss') AND operate_time <= to_date('2017-03-31 13:18:55','yyyy-mm-dd hh24:mi:ss')  AND operate_type = 1 AND from_device IN (1,2) GROUP BY from_device,city [ RunTime:0.001000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: SELECT COUNT(*) AS num FROM erp_rt_operate_log WHERE  city =2 AND operate_time >= to_date('2016-02-01 00:00:00','yyyy-mm-dd hh24:mi:ss') AND operate_time <= to_date('2017-03-31 13:18:55','yyyy-mm-dd hh24:mi:ss')  AND operate_type = 3 AND from_device IN (1,2,3) [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: SELECT operate_type, COUNT(*) AS num FROM erp_rt_operate_log WHERE  city = '4' AND operate_time >= to_date('2016-02-01 00:00:00','yyyy-mm-dd hh24:mi:ss') AND operate_time <= to_date('2017-03-31 13:18:55','yyyy-mm-dd hh24:mi:ss') GROUP BY operate_type [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: SELECT city, COUNT(*) AS num,from_device FROM erp_rt_operate_log WHERE  city =4 AND operate_time >= to_date('2016-02-01 00:00:00','yyyy-mm-dd hh24:mi:ss') AND operate_time <= to_date('2017-03-31 13:18:55','yyyy-mm-dd hh24:mi:ss')  AND operate_type = 1 AND from_device IN (1,2) GROUP BY from_device,city [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: SELECT COUNT(*) AS num FROM erp_rt_operate_log WHERE  city =4 AND operate_time >= to_date('2016-02-01 00:00:00','yyyy-mm-dd hh24:mi:ss') AND operate_time <= to_date('2017-03-31 13:18:55','yyyy-mm-dd hh24:mi:ss')  AND operate_type = 3 AND from_device IN (1,2,3) [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: SELECT operate_type, COUNT(*) AS num FROM erp_rt_operate_log WHERE  city = '102' AND operate_time >= to_date('2016-02-01 00:00:00','yyyy-mm-dd hh24:mi:ss') AND operate_time <= to_date('2017-03-31 13:18:55','yyyy-mm-dd hh24:mi:ss') GROUP BY operate_type [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: SELECT city, COUNT(*) AS num,from_device FROM erp_rt_operate_log WHERE  city =102 AND operate_time >= to_date('2016-02-01 00:00:00','yyyy-mm-dd hh24:mi:ss') AND operate_time <= to_date('2017-03-31 13:18:55','yyyy-mm-dd hh24:mi:ss')  AND operate_type = 1 AND from_device IN (1,2) GROUP BY from_device,city [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: SELECT COUNT(*) AS num FROM erp_rt_operate_log WHERE  city =102 AND operate_time >= to_date('2016-02-01 00:00:00','yyyy-mm-dd hh24:mi:ss') AND operate_time <= to_date('2017-03-31 13:18:55','yyyy-mm-dd hh24:mi:ss')  AND operate_type = 3 AND from_device IN (1,2,3) [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: SELECT operate_type, COUNT(*) AS num FROM erp_rt_operate_log WHERE  city = '8' AND operate_time >= to_date('2016-02-01 00:00:00','yyyy-mm-dd hh24:mi:ss') AND operate_time <= to_date('2017-03-31 13:18:55','yyyy-mm-dd hh24:mi:ss') GROUP BY operate_type [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: SELECT city, COUNT(*) AS num,from_device FROM erp_rt_operate_log WHERE  city =8 AND operate_time >= to_date('2016-02-01 00:00:00','yyyy-mm-dd hh24:mi:ss') AND operate_time <= to_date('2017-03-31 13:18:55','yyyy-mm-dd hh24:mi:ss')  AND operate_type = 1 AND from_device IN (1,2) GROUP BY from_device,city [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: SELECT COUNT(*) AS num FROM erp_rt_operate_log WHERE  city =8 AND operate_time >= to_date('2016-02-01 00:00:00','yyyy-mm-dd hh24:mi:ss') AND operate_time <= to_date('2017-03-31 13:18:55','yyyy-mm-dd hh24:mi:ss')  AND operate_type = 3 AND from_device IN (1,2,3) [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: SELECT operate_type, COUNT(*) AS num FROM erp_rt_operate_log WHERE  city = '114' AND operate_time >= to_date('2016-02-01 00:00:00','yyyy-mm-dd hh24:mi:ss') AND operate_time <= to_date('2017-03-31 13:18:55','yyyy-mm-dd hh24:mi:ss') GROUP BY operate_type [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: SELECT city, COUNT(*) AS num,from_device FROM erp_rt_operate_log WHERE  city =114 AND operate_time >= to_date('2016-02-01 00:00:00','yyyy-mm-dd hh24:mi:ss') AND operate_time <= to_date('2017-03-31 13:18:55','yyyy-mm-dd hh24:mi:ss')  AND operate_type = 1 AND from_device IN (1,2) GROUP BY from_device,city [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: SELECT COUNT(*) AS num FROM erp_rt_operate_log WHERE  city =114 AND operate_time >= to_date('2016-02-01 00:00:00','yyyy-mm-dd hh24:mi:ss') AND operate_time <= to_date('2017-03-31 13:18:55','yyyy-mm-dd hh24:mi:ss')  AND operate_type = 3 AND from_device IN (1,2,3) [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: SELECT operate_type, COUNT(*) AS num FROM erp_rt_operate_log WHERE  city = '101' AND operate_time >= to_date('2016-02-01 00:00:00','yyyy-mm-dd hh24:mi:ss') AND operate_time <= to_date('2017-03-31 13:18:55','yyyy-mm-dd hh24:mi:ss') GROUP BY operate_type [ RunTime:0.000000s ]
[ 2017-03-30T13:18:57+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/RTStatistics/city_pro_detail | SQL: SELECT city, COUNT(*) AS num,from_device FROM erp_rt_operate_log WHERE  city =101 AND operate_time >= to_date('2016-02-01 00:00:00','yyyy-mm-dd hh24:mi:ss') AND operate_time <= to_date('2017-03-31 13:18:55','yyyy-mm-dd hh24:mi:ss')  AND operate_type = 1 AND from_device IN (1,2) GROUP BY from_device,city [ RunTime:0.000000s ]
